Image,Label,Sample,View,Z,fold
images\Sample1_1_z1.tif,labels\Sample1_1_z1.tif,1,1,1,2.0
images\Sample1_1_z10.tif,labels\Sample1_1_z10.tif,1,1,10,2.0
images\Sample1_1_z11.tif,labels\Sample1_1_z11.tif,1,1,11,2.0
images\Sample1_1_z2.tif,labels\Sample1_1_z2.tif,1,1,2,2.0
images\Sample1_1_z3.tif,labels\Sample1_1_z3.tif,1,1,3,2.0
images\Sample1_1_z4.tif,labels\Sample1_1_z4.tif,1,1,4,2.0
images\Sample1_1_z5.tif,labels\Sample1_1_z5.tif,1,1,5,2.0
images\Sample1_1_z6.tif,labels\Sample1_1_z6.tif,1,1,6,2.0
images\Sample1_1_z7.tif,labels\Sample1_1_z7.tif,1,1,7,2.0
images\Sample1_1_z8.tif,labels\Sample1_1_z8.tif,1,1,8,2.0
images\Sample1_1_z9.tif,labels\Sample1_1_z9.tif,1,1,9,2.0
images\Sample1_3_z1.tif,labels\Sample1_3_z1.tif,1,3,1,1.0
images\Sample1_3_z10.tif,labels\Sample1_3_z10.tif,1,3,10,1.0
images\Sample1_3_z11.tif,labels\Sample1_3_z11.tif,1,3,11,1.0
images\Sample1_3_z2.tif,labels\Sample1_3_z2.tif,1,3,2,1.0
images\Sample1_3_z3.tif,labels\Sample1_3_z3.tif,1,3,3,1.0
images\Sample1_3_z4.tif,labels\Sample1_3_z4.tif,1,3,4,1.0
images\Sample1_3_z5.tif,labels\Sample1_3_z5.tif,1,3,5,1.0
images\Sample1_3_z6.tif,labels\Sample1_3_z6.tif,1,3,6,1.0
images\Sample1_3_z7.tif,labels\Sample1_3_z7.tif,1,3,7,1.0
images\Sample1_3_z8.tif,labels\Sample1_3_z8.tif,1,3,8,1.0
images\Sample1_3_z9.tif,labels\Sample1_3_z9.tif,1,3,9,1.0
images\Sample2_3_z1.tif,labels\Sample2_3_z1.tif,2,3,1,0.0
images\Sample2_3_z2.tif,labels\Sample2_3_z2.tif,2,3,2,0.0
images\Sample2_3_z3.tif,labels\Sample2_3_z3.tif,2,3,3,0.0
images\Sample2_3_z4.tif,labels\Sample2_3_z4.tif,2,3,4,0.0
images\Sample2_3_z5.tif,labels\Sample2_3_z5.tif,2,3,5,0.0
images\Sample2_3_z6.tif,labels\Sample2_3_z6.tif,2,3,6,0.0
images\Sample2_3_z7.tif,labels\Sample2_3_z7.tif,2,3,7,0.0
images\Sample2_3_z8.tif,labels\Sample2_3_z8.tif,2,3,8,0.0
images\Sample2_3_z9.tif,labels\Sample2_3_z9.tif,2,3,9,0.0
images\Sample2_4_z1.tif,labels\Sample2_4_z1.tif,2,4,1,3.0
images\Sample2_4_z10.tif,labels\Sample2_4_z10.tif,2,4,10,3.0
images\Sample2_4_z11.tif,labels\Sample2_4_z11.tif,2,4,11,3.0
images\Sample2_4_z2.tif,labels\Sample2_4_z2.tif,2,4,2,3.0
images\Sample2_4_z3.tif,labels\Sample2_4_z3.tif,2,4,3,3.0
images\Sample2_4_z4.tif,labels\Sample2_4_z4.tif,2,4,4,3.0
images\Sample2_4_z5.tif,labels\Sample2_4_z5.tif,2,4,5,3.0
images\Sample2_4_z6.tif,labels\Sample2_4_z6.tif,2,4,6,3.0
images\Sample2_4_z7.tif,labels\Sample2_4_z7.tif,2,4,7,3.0
images\Sample2_4_z8.tif,labels\Sample2_4_z8.tif,2,4,8,3.0
images\Sample2_4_z9.tif,labels\Sample2_4_z9.tif,2,4,9,3.0
images\Sample2_5_z1.tif,labels\Sample2_5_z1.tif,2,5,1,2.0
images\Sample2_5_z10.tif,labels\Sample2_5_z10.tif,2,5,10,2.0
images\Sample2_5_z11.tif,labels\Sample2_5_z11.tif,2,5,11,2.0
images\Sample2_5_z2.tif,labels\Sample2_5_z2.tif,2,5,2,2.0
images\Sample2_5_z3.tif,labels\Sample2_5_z3.tif,2,5,3,2.0
