mode,test_fold,param_id,report_id,iou_1,iou_2,iou_comb,failed
validate,0,0,0,0.0,0.0,0.0,True
validate,0,1,1,0.26687384222944577,0.5839072575171788,0.42539054987331226,False
validate,0,2,2,0.5092284309367339,0.5843855480353037,0.5468069894860188,False
validate,0,3,3,0.4447214373076956,0.5626778850952785,0.503699661201487,False
validate,0,4,4,0.32902947304149466,0.5786682486534118,0.45384886084745324,False
validate,0,5,5,0.0,0.0,0.0,True
validate,0,6,6,0.0,0.0,0.0,True
validate,0,7,7,0.0,0.0,0.0,True
validate,0,8,8,0.0,0.0,0.0,True
validate,0,9,9,0.0,0.0,0.0,True
validate,0,10,10,0.0,0.0,0.0,True
validate,0,11,11,0.0,0.0,0.0,True
validate,0,12,12,0.0,0.0,0.0,True
validate,0,13,13,0.0,0.0,0.0,True
validate,0,14,14,0.0,0.0,0.0,True
validate,0,15,15,0.0,0.0,0.0,True
validate,0,16,16,0.49885571428264175,0.5897661815087001,0.544310947895671,False
validate,0,17,17,0.4280887683853507,0.5422131031751632,0.485150935780257,False
validate,0,18,18,0.0,0.0,0.0,True
validate,0,19,19,0.0,0.0,0.0,True
validate,0,20,20,0.0,0.0,0.0,True
test,0,2,21,0.48785059452056884,0.6564228057861328,0.5721367001533508,False
validate,1,2,22,0.47798698830107844,0.5731107711791993,0.5255488797401389,False
validate,1,16,23,0.5123261598870158,0.5393402496973673,0.5258332047921916,False
validate,1,17,24,0.42817049438550986,0.5567791233460109,0.4924748088657604,False
test,1,16,25,0.6102173149585723,0.6950056731700898,0.652611494064331,False
validate,2,16,26,0.5116924213866393,0.6121237734953563,0.5619080974409978,False
validate,2,17,27,0.5746018568674723,0.6106363356113433,0.5926190962394078,False
validate,2,17,28,0.567245035370191,0.5995146334171295,0.5833798343936603,False
test,2,17,29,0.6217300593852997,0.5627136349678039,0.5922218471765518,False
validate,3,17,30,0.5247881473352511,0.5708540817101797,0.5478211145227154,False
validate,3,17,31,0.4858765430748463,0.5667570988337198,0.526316820954283,False
validate,3,17,32,0.576047898332278,0.5914882202943167,0.5837680593132973,False
test,3,17,33,0.5554433286190033,0.604630571603775,0.5800369501113891,False
final,-1,17,34,0.5688103243708611,0.6296931713819504,0.5992517478764057,False
