mode,test_fold,param_id,report_id,iou_1,iou_2,iou_comb,failed
validate,0,0,0,0.0,0.0,0.0,True
validate,0,1,1,0.0,0.0,0.0,True
validate,0,2,2,0.0,0.0,0.0,True
validate,0,3,3,0.0,0.0,0.0,True
validate,0,4,4,0.0,0.0,0.0,True
validate,0,5,5,0.0,0.0,0.0,True
validate,0,6,6,0.0,0.0,0.0,True
validate,0,7,7,0.0,0.0,0.0,True
validate,0,8,8,0.0,0.0,0.0,True
validate,0,9,9,0.0,0.0,0.0,True
validate,0,10,10,0.0,0.0,0.0,True
validate,0,11,11,0.0,0.0,0.0,True
validate,0,12,12,0.0,0.0,0.0,True
validate,0,13,13,0.0,0.0,0.0,True
validate,0,14,14,0.0,0.0,0.0,True
validate,0,15,15,0.0,0.0,0.0,True
validate,0,16,16,0.0,0.0,0.0,True
validate,0,17,17,0.0,0.0,0.0,True
validate,0,18,18,0.0,0.0,0.0,True
validate,0,19,19,0.0,0.0,0.0,True
validate,0,20,20,0.0688588187098503,0.0,0.03442940935492515,True
test,0,20,21,0.0,0.0,0.0,True
test,0,0,22,0.0,0.0,0.0,True
test,0,0,23,0.0,0.0,0.0,True
validate,1,20,24,0.0,0.0,0.0,True
validate,1,0,25,0.0,0.0,0.0,True
validate,1,0,26,0.0,0.0,0.0,True
test,1,20,27,0.0,0.0,0.0,True
test,1,0,28,0.0,0.0,0.0,True
test,1,0,29,0.0,0.0,0.0,True
validate,2,20,30,0.0,0.0,0.0,True
validate,2,0,31,0.0,0.0,0.0,True
validate,2,0,32,0.0,0.0,0.0,True
test,2,20,33,0.0,0.0,0.0,True
test,2,0,34,0.0,0.0,0.0,True
test,2,0,35,0.0,0.0,0.0,True
validate,3,20,36,0.0,0.0,0.0,True
validate,3,0,37,0.0,0.0,0.0,True
validate,3,0,38,0.0,0.0,0.0,True
test,3,20,39,0.0,0.0,0.0,True
test,3,0,40,0.0,0.0,0.0,True
test,3,0,41,0.0,0.0,0.0,True
final,-1,0,42,0.0,0.0,0.0,True
