mode,test_fold,param_id,report_id,iou_1,iou_2,iou_comb,failed
validate,0,0,0,0.04170522466301918,0.0,0.02085261233150959,True
validate,0,0,1,0.0,0.0,0.0,True
validate,0,0,2,0.0,0.0,0.0,True
validate,0,0,3,0.0,0.0,0.0,True
validate,0,0,4,0.0,0.0,0.0,True
validate,0,0,5,0.45814509478708104,0.5338769609729449,0.496011027880013,False
validate,0,0,6,0.3484661855734884,0.0,0.1742330927867442,True
validate,0,0,7,0.0,0.0,0.0,True
validate,0,0,8,0.0,0.0,0.0,True
validate,0,0,9,0.0,0.0,0.0,True
validate,0,0,10,0.0,0.0,0.0,True
validate,0,0,11,0.0,0.0,0.0,True
validate,0,0,12,0.0,0.0,0.0,True
validate,0,0,13,0.10991304491957028,0.0,0.05495652245978514,True
validate,0,0,14,0.025561781475941337,0.0,0.012780890737970669,True
validate,0,0,15,0.0,0.0,0.0,True
validate,0,0,16,0.0,0.0,0.0,True
validate,0,0,17,0.0,0.0,0.0,True
validate,0,0,18,0.0,0.0,0.0,True
validate,0,0,19,0.47472337474270415,0.5566851596037546,0.5157042671732295,False
validate,0,0,20,0.2832939165644348,0.0,0.1416469582822174,True
test,0,0,21,0.6046326398849488,0.6658957898616791,0.6352642148733139,False
validate,1,0,22,0.4097299718220408,0.5004269093275069,0.455078440574774,False
validate,1,0,23,0.0,0.0,0.0,True
validate,1,0,24,0.0,0.0,0.0,True
test,1,0,25,0.5571088552474975,0.694621455669403,0.6258651554584503,False
validate,2,0,26,0.49947111060221994,0.0,0.24973555530110997,True
validate,2,0,27,0.0,0.0,0.0,True
validate,2,0,28,0.0,0.0,0.0,True
test,2,0,29,0.0,0.0,0.0,True
test,2,0,30,0.0,0.0,0.0,True
test,2,0,31,0.0,0.0,0.0,True
validate,3,0,32,0.0,0.0,0.0,True
validate,3,0,33,0.0,0.0,0.0,True
validate,3,0,34,0.0,0.0,0.0,True
test,3,0,35,0.0,0.0,0.0,True
test,3,0,36,0.0,0.0,0.0,True
test,3,0,37,0.0,0.0,0.0,True
final,-1,0,38,0.2904353737831116,0.3401293113827705,0.3152823425829411,False
